"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"235","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2016",-1.79218006134,"2016","2006","32",0,1,0
"237","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2007",-1.82319128513,"2007","2006","32",0,0,0
"238","UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2014",-1.90476405621,"2014","2006","32",0,1,0
"240","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2016",-1.31334269047,"2016","2006","33",0,1,0
"241","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2011",-2.20386242867,"2011","2006","33",0,1,0
"242","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2007",-2.15122056007,"2007","2006","33",0,0,0
"243","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2012",-2.02062511444,"2012","2006","33",0,1,0
"244","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2010",-2.15442585945,"2010","2006","33",0,0,0
"247","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2009",-2.68587517738,"2009","2006","33",0,0,0
"248","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2015",-1.58230304718,"2015","2006","33",0,1,0
"249","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2013",-1.26983785629,"2013","2006","33",0,1,0
"251","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2014",-2.00427222252,"2014","2006","33",0,1,0
"254","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2008",-2.48191261292,"2008","2006","33",0,0,0
"255","UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2006",-2.23343324661,"2006","2006","33",0,0,0
"256","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2013",-0.331176400185,"2013","2006","36",0,1,0
"257","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2011",-1.58511197567,"2011","2006","36",0,1,0
"258","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2008",-1.31963562965,"2008","2006","36",0,0,0
"261","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2014",-0.677071273327,"2014","2006","36",0,1,0
"264","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2015",-0.377217054367,"2015","2006","36",0,1,0
"265","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2009",-1.29612410069,"2009","2006","36",0,0,0
"266","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2012",-0.965623795986,"2012","2006","36",0,1,0
"268","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2016",-0.519406616688,"2016","2006","36",0,1,0
"270","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2006",-1.33539497852,"2006","2006","36",0,0,0
"271","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2010",-1.34474122524,"2010","2006","36",0,0,0
